GlobalRank,Name,Team,Pos,ECR_Pos,ContractYear,Flag,Notes,PosTier,Bye,SoS_Rank,SoS_Tier,SoS_Label,SF_TEP_Tag,GlobalValue,DurabilityNote,Tier,TierLevel,ADP,ValueDelta
282,Chimere Dike,TEN,WR,96,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,,-25.9,,10,Tier 10,179.7,-102.3
283,Xavier Legette,CAR,WR,99,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,21,4,Tough,,-25.9,,10,Tier 10,,
284,Jawhar Jordan,HOU,RB,103,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,4,1,Very Soft,,-26.0,,10,Tier 10,,
285,Ja'Tavion Sanders,CAR,TE,51,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,21,4,Tough,,-26.0,,10,Tier 10,,
286,Noah Gray,KC,TE,49,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,15,3,Neutral,,-26.0,,10,Tier 10,,
287,Michael Carter,TEN,RB,104,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,3,1,Very Soft,,-26.3,,10,Tier 10,,
288,Skyler Bell,BUF,WR,107,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,30,5,Gauntlet,,-26.6,,10,Tier 10,,
289,Carson Beck,ARI,QB,36,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,22,4,Tough,Superflex Depth,-26.9,,10,Tier 10,177.0,-112.0
290,Kyle Williams,NE,WR,103,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,18,3,Neutral,,-27.0,,10,Tier 10,,
291,Cyrus Allen,KC,WR,102,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,15,3,Neutral,,-27.0,,10,Tier 10,165.9,-125.1
292,Darius Slayton,NYG,WR,97,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,1,1,Very Soft,,-27.2,,10,Tier 10,,
293,Justin Joly,DEN,TE,52,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,10,2,Soft,,-27.3,,10,Tier 10,,
294,Mack Hollins,NE,WR,105,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,18,3,Neutral,,-27.3,,10,Tier 10,,
295,Shedeur Sanders,CLE,QB,35,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,2,1,Very Soft,Superflex Depth,-27.4,,10,Tier 10,169.1,-125.9
296,Deshaun Watson,CLE,QB,34,Y,DEPTH,"Contract year; Cleveland's QB1, name value only",6,11.0,2,1,Very Soft,Superflex Depth,-27.4,,10,Tier 10,165.5,-130.5
297,Christian Kirk,SF,WR,98,Y,DEPTH,Contract year; 49ers depth,6,8.0,16,3,Neutral,,-27.5,,10,Tier 10,,
298,Elijah Sarratt,BAL,WR,100,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,4,1,Very Soft,,-27.6,,10,Tier 10,,
299,Brandon Aiyuk,SF,WR,108,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,16,3,Neutral,,-28.0,,11,Tier 11,,
300,Jahan Dotson,ATL,WR,111,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,19,3,Neutral,,-28.3,,11,Tier 11,,
301,Brenen Thompson,LAC,WR,116,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,26,4,Tough,,-28.4,,11,Tier 11,,
302,Hollywood Brown,PHI,WR,104,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,3,1,Very Soft,,-28.5,,11,Tier 11,,
303,Tez Johnson,TB,WR,119,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,29,5,Gauntlet,,-28.6,,11,Tier 11,,
304,Marvin Mims,DEN,WR,101,Y,DEPTH,Contract year; Broncos big-play role,6,10.0,10,2,Soft,,-28.6,,11,Tier 11,,
305,Isaiah Bond,CLE,WR,106,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,2,1,Very Soft,,-28.9,,11,Tier 11,,
306,Konata Mumpfield,LAR,WR,118,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,23,4,Tough,,-29.0,,11,Tier 11,,
307,Joshua Palmer,BUF,WR,123,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,30,5,Gauntlet,,-29.1,,11,Tier 11,,
308,J.J. McCarthy,MIN,QB,37,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,9,2,Soft,Superflex Depth,-29.2,,11,Tier 11,178.0,-130.0
309,Bryce Lance,NO,WR,113,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,11,2,Soft,,-29.4,,11,Tier 11,,
310,Demario Douglas,NE,WR,109,Y,DEPTH,Contract year; Patriots depth,6,11.0,18,3,Neutral,,-29.4,,11,Tier 11,,
311,Kendrick Bourne,ARI,WR,120,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,22,4,Tough,,-29.4,,11,Tier 11,,
312,Malik Benson,LV,WR,127,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,31,5,Gauntlet,,-29.5,,11,Tier 11,,
313,Jalen Tolbert,MIA,WR,114,Y,DEPTH,Contract year; Dolphins depth-chart WR1,6,6.0,24,4,Tough,,-29.7,,11,Tier 11,,
314,Dont'e Thornton Jr.,LV,WR,131,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,31,5,Gauntlet,,-30.1,,11,Tier 11,,
315,Olamide Zaccheaus,ATL,WR,124,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,19,3,Neutral,,-30.3,,11,Tier 11,,
316,Luke McCaffrey,WAS,WR,117,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,7,2,Soft,,-30.4,,11,Tier 11,,
317,Chris Brazzell II,CAR,WR,126,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,21,4,Tough,,-30.4,,11,Tier 11,,
318,Jalen Royals,KC,WR,122,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,15,3,Neutral,,-30.4,,11,Tier 11,,
319,Roman Wilson,PIT,WR,130,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,25,4,Tough,,-30.5,,11,Tier 11,,
320,Andrei Iosivas,CIN,WR,110,Y,DEPTH,Contract year; Bengals depth,6,6.0,6,1,Very Soft,,-30.8,,11,Tier 11,,
321,Savion Williams,GB,WR,128,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,20,4,Tough,,-30.8,,11,Tier 11,,
322,Ty Simpson,LAR,QB,40,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,23,4,Tough,Superflex Depth,-31.0,,11,Tier 11,177.1,-144.9
323,Mac Jones,SF,QB,38,Y,DEPTH,Contract year; backup to Purdy,6,8.0,16,3,Neutral,Superflex Depth,-31.1,,11,Tier 11,180.3,-142.7
324,Cedric Tillman,FA,WR,121,Y,DEPTH,CAUTION: previously scouted as Browns WR6 (contract year); FantasyPros' fresh Aug-29 pull tags him FA (unsigned) -- verify his actual roster status before drafting.,6,,16,3,N/A (FA),,-31.6,,12,Tier 12,,
325,Xavier Hutchinson,HOU,WR,115,Y,DEPTH,Contract year; Texans depth,6,8.0,5,1,Very Soft,,-31.8,,12,Tier 12,,
326,KaVontae Turpin,DAL,WR,129,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,8,2,Soft,,-32.1,,12,Tier 12,,
327,Justin Fields,KC,QB,39,Y,DEPTH,Contract year; rushing-only streamer if he starts in KC,6,5.0,15,3,Neutral,Superflex Depth,-32.4,,12,Tier 12,177.3,-149.7
328,Treylon Burks,WAS,WR,125,Y,DEPTH,Contract year; Commanders depth,6,7.0,7,2,Soft,,-33.2,,12,Tier 12,,
